# x,Curve1
15,13.106
40,13.216
60,13.324
85,13.434
105,13.642
130,13.552
150,13.76
170,13.868
195,13.878
215,14.186
235,14.194
255,14.402
280,14.412
305,14.522
325,14.53
345,14.638
360,14.844
380,14.952
405,14.862
425,15.07
465,15.786
470,18.788
475,21.19
480,23.692
485,25.594
505,25.702
520,25.808
545,25.818
565,26.026
570,28.528
575,30.43
580,32.432
595,34.738
610,35.044
625,35.05
645,34.858
665,34.766
670,34.268
690,34.076
710,33.984
725,33.79
740,33.496
755,33.402
770,33.308
790,33.116
810,32.824
825,32.63
850,32.44
865,32.146
880,32.052
900,31.86
920,31.668
940,31.376
955,31.182
980,31.092
995,30.798
1015,30.706
1030,30.412
1065,30.226
1085,30.134
1100,29.94
1125,29.85
1140,29.456
1155,29.562
1170,29.468
1190,29.176
1210,29.184
1225,28.89
1250,28.8
1270,28.608
1290,28.416
1310,28.224
1335,28.134
1355,27.942
1380,27.952
1395,27.658
1420,27.668
1435,27.374
1460,27.384
1480,27.292
1500,27.1
1525,27.11
1540,26.716
1565,26.726
1585,26.534
1605,26.442
1620,26.248
1645,26.258
1665,26.066
1680,26.172
1700,25.98
1725,25.89
1765,25.706
1790,25.716
1810,25.424
1830,25.332
1850,25.24
1870,25.448
1890,25.256
1910,25.164
1935,25.074
1950,24.98
1970,24.988
2015,24.806
2040,24.716
2055,24.422
2075,24.63
2095,24.438
2120,24.548
2140,24.356
2155,24.262
2175,24.47
2185,24.074
2190,21.576
2195,18.678
2200,16.18
2205,13.782
2230,13.792
2250,13.5
2275,13.51
2285,13.114
2290,11.616
2295,10.218
2300,8.22
