# Leitungskonstanten, 75 ohm Kabel, kurz
#
# f / kHz, C / pF, R / ohm, L / muH
0.2 	674.33 	1.9534 	5.0
0.4 	674.41 	1.9521 	6.2
0.6 	674.47 	1.9517 	6.1
0.8 	674.46 	1.9515 	6.1
1 	674.44 	1.9512 	6.1
2 	674.23 	1.9526 	6.09
3 	674.19 	1.9554 	6.05
4 	674.19 	1.9590 	6.01
5 	674.20 	1.9636 	5.97
6 	674.22 	1.9690 	5.92
7 	674.23  1.9755 	5.89
8 	674.18 	1.9822 	5.81
9 	674.20 	1.9895 	5.75
10 	674.17 	1.9971 	5.69
11 	674.19 	2.0048 	5.63
12 	674.21 	2.0127 	5.57
13 	674.25 	2.0205 	5.50
14 	674.26 	2.0281 	5.44
15 	674.27 	2.0354 	5.38
16 	674.26 	2.0428 	5.33
17 	674.26 	2.0500 	5.27
18 	674.35 	2.0570 	5.21
19 	674.40 	2.0636 	5.16
20 	674.38 	2.0699 	5.11
